epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,8220.86,0.96031,0.52218,1.13829,0.86101,0.72576,0.77829,0.48347,1.3125,0.68221,1.49689,0.000244389,0.000244389,0.000244389
98,8315.28,0.97592,0.52243,1.13589,0.87854,0.72349,0.77993,0.48642,1.29346,0.68022,1.47509,0.000239987,0.000239987,0.000239987
99,8388.03,0.96439,0.51825,1.11835,0.87598,0.72197,0.77248,0.49327,1.28668,0.68464,1.46495,0.000235584,0.000235584,0.000235584
100,8476.52,0.95331,0.51479,1.12188,0.85586,0.73038,0.77332,0.49177,1.27986,0.69059,1.46585,0.000231182,0.000231182,0.000231182
101,8555.93,0.95913,0.52077,1.13037,0.88704,0.71206,0.77251,0.48183,1.30291,0.68186,1.47069,0.00022678,0.00022678,0.00022678
102,8640.22,0.95812,0.51222,1.12201,0.86455,0.73026,0.77521,0.4866,1.29983,0.68865,1.4846,0.000222378,0.000222378,0.000222378
103,8730.71,0.94952,0.51132,1.12169,0.87297,0.72033,0.77981,0.49487,1.27126,0.66883,1.45423,0.000217976,0.000217976,0.000217976
104,8828.83,0.93721,0.50955,1.11676,0.90098,0.71731,0.77765,0.4943,1.269,0.66819,1.45913,0.000213573,0.000213573,0.000213573
105,8919.52,0.92363,0.50064,1.1028,0.89377,0.72269,0.7789,0.49706,1.272,0.6716,1.46864,0.000209171,0.000209171,0.000209171
106,8996.25,0.94644,0.51016,1.12027,0.86875,0.72893,0.78113,0.49731,1.26777,0.67433,1.45715,0.000204769,0.000204769,0.000204769
107,9059.85,0.93357,0.50707,1.11713,0.89845,0.71165,0.77528,0.49627,1.26643,0.66858,1.46191,0.000200367,0.000200367,0.000200367
108,9141.22,0.9196,0.4962,1.1001,0.89553,0.71663,0.78177,0.50642,1.25928,0.67874,1.45888,0.000195965,0.000195965,0.000195965
109,9210.4,0.91788,0.49166,1.10528,0.87512,0.72515,0.78187,0.50782,1.24822,0.66564,1.45294,0.000191562,0.000191562,0.000191562
110,9276.73,0.91785,0.49324,1.09671,0.87985,0.73291,0.78716,0.50845,1.25038,0.66234,1.44823,0.00018716,0.00018716,0.00018716
111,9353.71,0.89543,0.48727,1.09878,0.89985,0.72424,0.7829,0.50182,1.26264,0.66522,1.46532,0.000182758,0.000182758,0.000182758
112,9440.57,0.90594,0.48989,1.10196,0.87574,0.73061,0.78128,0.50135,1.25791,0.65897,1.47367,0.000178356,0.000178356,0.000178356
113,9529.6,0.89406,0.4784,1.09632,0.8818,0.72879,0.78307,0.50078,1.25081,0.6629,1.45136,0.000173954,0.000173954,0.000173954
114,9624.55,0.89041,0.47664,1.09192,0.8694,0.73357,0.78153,0.50609,1.24801,0.66476,1.45964,0.000169551,0.000169551,0.000169551
115,9704.96,0.89891,0.48199,1.0901,0.88454,0.72548,0.779,0.50683,1.24468,0.67268,1.44882,0.000165149,0.000165149,0.000165149
116,9785.87,0.88564,0.47571,1.08984,0.88254,0.7259,0.78354,0.50984,1.23033,0.67364,1.44539,0.000160747,0.000160747,0.000160747
117,9850.35,0.87144,0.46899,1.07852,0.86668,0.73523,0.783,0.50222,1.2426,0.68372,1.45867,0.000156345,0.000156345,0.000156345
118,9943.82,0.88113,0.47662,1.08936,0.87977,0.72332,0.78566,0.50855,1.23317,0.67141,1.45307,0.000151943,0.000151943,0.000151943
119,10012.9,0.87769,0.47659,1.08235,0.90548,0.72569,0.79122,0.51594,1.21194,0.65882,1.4374,0.00014754,0.00014754,0.00014754
120,10095.8,0.86564,0.46672,1.08143,0.89046,0.73291,0.78711,0.5173,1.21441,0.66682,1.43971,0.000143138,0.000143138,0.000143138
121,10184.1,0.87736,0.47157,1.08061,0.88086,0.73108,0.77787,0.51165,1.21547,0.65866,1.44739,0.000138736,0.000138736,0.000138736
122,10292.6,0.86947,0.47338,1.07473,0.88332,0.73375,0.7836,0.51472,1.21335,0.65924,1.4364,0.000134334,0.000134334,0.000134334
123,10391.6,0.86839,0.46681,1.07692,0.90075,0.72439,0.78559,0.51629,1.20705,0.64759,1.43868,0.000129932,0.000129932,0.000129932
124,10468.4,0.85381,0.46521,1.0682,0.90089,0.71743,0.78591,0.51653,1.20957,0.65089,1.43673,0.000125529,0.000125529,0.000125529
125,10552.8,0.84936,0.4582,1.07042,0.87168,0.73162,0.78513,0.51774,1.20665,0.65575,1.43679,0.000121127,0.000121127,0.000121127
126,10622.8,0.85337,0.45805,1.0639,0.88396,0.72574,0.78475,0.51869,1.19854,0.64441,1.42825,0.000116725,0.000116725,0.000116725
